"Data" "Ano" "Mes" "Dia" "Vazao"
1940-01-01 1940 1 1 40.013
1940-01-02 1940 1 2 33.449
1940-01-03 1940 1 3 32.966
1940-01-04 1940 1 4 30.134
1940-01-05 1940 1 5 27.862
1940-01-06 1940 1 6 27.417
1940-01-07 1940 1 7 25.669
1940-01-08 1940 1 8 32.966
1940-01-09 1940 1 9 52.899
1940-01-10 1940 1 10 102.514
1940-01-11 1940 1 11 131.324
1940-01-12 1940 1 12 130.431
1940-01-13 1940 1 13 98.548
1940-01-14 1940 1 14 69.373
1940-01-15 1940 1 15 53.495
1940-01-16 1940 1 16 49.961
1940-01-17 1940 1 17 46.535
1940-01-18 1940 1 18 43.764
1940-01-19 1940 1 19 38.452
1940-01-20 1940 1 20 43.764
1940-01-21 1940 1 21 57.755
1940-01-22 1940 1 22 74.84
1940-01-23 1940 1 23 70.046
1940-01-24 1940 1 24 81.935
1940-01-25 1940 1 25 101.715
1940-01-26 1940 1 26 90.826
1940-01-27 1940 1 27 107.365
1940-01-28 1940 1 28 87.072
1940-01-29 1940 1 29 176.325
1940-01-30 1940 1 30 194.049
1940-01-31 1940 1 31 189.81
1940-02-01 1940 2 1 152.605
1940-02-02 1940 2 2 116.52
1940-02-03 1940 2 3 91.586
1940-02-04 1940 2 4 83.388
1940-02-05 1940 2 5 76.236
1940-02-06 1940 2 6 121.654
1940-02-07 1940 2 7 150.698
1940-02-08 1940 2 8 204.829
1940-02-09 1940 2 9 138.564
1940-02-10 1940 2 10 114.83
1940-02-11 1940 2 11 87.817
1940-02-12 1940 2 12 73.456
1940-02-13 1940 2 13 70.046
1940-02-14 1940 2 14 68.035
1940-02-15 1940 2 15 66.05
1940-02-16 1940 2 16 59.625
1940-02-17 1940 2 17 57.137
1940-02-18 1940 2 18 55.303
1940-02-19 1940 2 19 55.303
1940-02-20 1940 2 20 55.303
1940-02-21 1940 2 21 52.899
1940-02-22 1940 2 22 52.899
1940-02-23 1940 2 23 52.899
1940-02-24 1940 2 24 54.095
1940-02-25 1940 2 25 55.303
1940-02-26 1940 2 26 63.444
1940-02-27 1940 2 27 78.352
1940-02-28 1940 2 28 74.84
1940-02-29 1940 2 29 75.537
1940-03-01 1940 3 1 64.091
1940-03-02 1940 3 2 56.523
1940-03-03 1940 3 3 49.961
1940-03-04 1940 3 4 65.394
1940-03-05 1940 3 5 64.741
1940-03-06 1940 3 6 60.886
1940-03-07 1940 3 7 48.235
1940-03-08 1940 3 8 46.535
1940-03-09 1940 3 9 43.764
1940-03-10 1940 3 10 42.677
1940-03-11 1940 3 11 41.602
1940-03-12 1940 3 12 48.807
1940-03-13 1940 3 13 74.147
1940-03-14 1940 3 14 76.236
1940-03-15 1940 3 15 71.401
1940-03-16 1940 3 16 169.248
1940-03-17 1940 3 17 133.117
1940-03-18 1940 3 18 102.514
1940-03-19 1940 3 19 144.107
1940-03-20 1940 3 20 98.548
1940-03-21 1940 3 21 76.236
1940-03-22 1940 3 22 66.709
1940-03-23 1940 3 23 65.394
1940-03-24 1940 3 24 60.886
1940-03-25 1940 3 25 57.137
1940-03-26 1940 3 26 53.495
1940-03-27 1940 3 27 51.127
1940-03-28 1940 3 28 49.383
1940-03-29 1940 3 29 47.665
1940-03-30 1940 3 30 49.961
1940-03-31 1940 3 31 58.998
1940-04-01 1940 4 1 57.137
1940-04-02 1940 4 2 50.543
1940-04-03 1940 4 3 46.535
1940-04-04 1940 4 4 43.764
1940-04-05 1940 4 5 43.219
1940-04-06 1940 4 6 44.864
1940-04-07 1940 4 7 48.235
1940-04-08 1940 4 8 45.418
1940-04-09 1940 4 9 42.677
1940-04-10 1940 4 10 42.677
1940-04-11 1940 4 11 46.535
1940-04-12 1940 4 12 42.138
1940-04-13 1940 4 13 38.452
1940-04-14 1940 4 14 36.918
1940-04-15 1940 4 15 35.912
1940-04-16 1940 4 16 34.917
1940-04-17 1940 4 17 34.425
1940-04-18 1940 4 18 34.917
1940-04-19 1940 4 19 35.413
1940-04-20 1940 4 20 36.918
1940-04-21 1940 4 21 34.425
1940-04-22 1940 4 22 33.449
1940-04-23 1940 4 23 32.966
1940-04-24 1940 4 24 32.486
1940-04-25 1940 4 25 32.01
1940-04-26 1940 4 26 31.536
1940-04-27 1940 4 27 32.966
1940-04-28 1940 4 28 31.536
1940-04-29 1940 4 29 31.536
1940-04-30 1940 4 30 32.966
1940-05-01 1940 5 1 36.413
1940-05-02 1940 5 2 35.912
1940-05-03 1940 5 3 33.449
1940-05-04 1940 5 4 32.486
1940-05-05 1940 5 5 33.936
1940-05-06 1940 5 6 38.969
1940-05-07 1940 5 7 38.969
1940-05-08 1940 5 8 33.449
1940-05-09 1940 5 9 32.966
1940-05-10 1940 5 10 32.966
1940-05-11 1940 5 11 30.598
1940-05-12 1940 5 12 29.216
1940-05-13 1940 5 13 28.761
